*******************************************************************************************************
The result of FARGO for yahoo_large is as follow: c=0.3, k=50
*******************************************************************************************************
     algName           c           L           K         QPS        Time      Recall       Ratio        Cost

         PSP           1          10          10     90395.5 6.91406e-07       0.005    0.129644      514.08
         PSP           1          20          10       40000  1.5625e-06      0.0174    0.196128     938.465
         PSP           1          30          10     25039.1 2.49609e-06   0.0284187    0.248569     1360.41
         PSP           1          40          10     19070.3 3.27734e-06    0.038225    0.284842     1738.96
         PSP           1          50          10       15444 4.04687e-06    0.045975    0.314741     2122.19
         PSP           1          60          10     12820.5   4.875e-06   0.0524562    0.340009     2499.78
         PSP           1          85          10     9302.33 6.71875e-06   0.0725437    0.394608     3427.67
         PSP           1         110          10     7397.13 8.44922e-06   0.0883937     0.43234     4315.12
         PSP           1         160          10     5124.92 1.21953e-05    0.122456    0.498561     6046.39
         PSP           1         210          10     4190.68 1.49141e-05    0.151656    0.546447     7709.49
         PSP           1         260          10     3576.22 1.74766e-05    0.176206    0.582582     9305.97
         PSP           1         310          10      3045.3 2.05234e-05    0.199988    0.611937       10858
         PSP           1         610          10     1622.39 3.85234e-05     0.32945    0.728134     19769.6
         PSP           1         910          10     1244.26 5.02305e-05    0.423644     0.79213     28008.9
         PSP           1        1210          10      972.94 6.42383e-05    0.528644    0.841315     35926.2
         PSP           1        1610          10     717.135 8.71523e-05    0.620862    0.880356     45975.5
         PSP           1        2010          10     562.509 0.000111109    0.691825    0.906767     55366.5
         PSP           1        4010          10     248.783 0.000251223    0.877481     0.96736       94942
         PSP           1        6010          10     149.083  0.00041923    0.945531    0.985589      125582
         PSP           1        8010          10     99.9388 0.000625383    0.975056    0.994725      150399
         PSP           1       10010          10      72.317  0.00086425    0.986263    0.997474      171501

******************************************************************************************************
                                                                                    10-15 17:1
*****************************************************************************************************


*******************************************************************************************************
The result of FARGO for deep1m is as follow: c=0.3, k=50
*******************************************************************************************************
     algName           c           L           K         QPS        Time      Recall       Ratio        Cost

         PSP           1          10          10     75117.4 8.32031e-07       0.015    0.886486       578.9
         PSP           1          20          10     35242.3 1.77344e-06     0.02535    0.909289      1004.9
         PSP           1          30          10     24242.4 2.57813e-06   0.0351438    0.920426     1417.39
         PSP           1          40          10     18390.8 3.39844e-06   0.0457125    0.928157     1828.78
         PSP           1          50          10     15325.7 4.07813e-06   0.0569625    0.933803     2223.44
         PSP           1          60          10     12658.2  4.9375e-06   0.0665063    0.938065     2611.47
         PSP           1          85          10     9096.08 6.87109e-06   0.0877813    0.945836     3558.12
         PSP           1         110          10     7085.92 8.82031e-06    0.109119    0.951344     4509.74
         PSP           1         160          10     4998.44 1.25039e-05    0.146444    0.958854     6279.96
         PSP           1         210          10     3892.94 1.60547e-05    0.183612    0.964339     8072.86
         PSP           1         260          10     3181.55 1.96445e-05    0.217088    0.968372     9750.92
         PSP           1         310          10      2698.6 2.31602e-05    0.252806    0.971618     11426.7
         PSP           1         610          10     1462.26 4.27422e-05    0.400344    0.981512       20905
         PSP           1         910          10     1002.32 6.23555e-05    0.533938    0.987071     29982.1
         PSP           1        1210          10     810.701 7.70937e-05    0.631694    0.990719     38872.6
         PSP           1        1610          10     614.699 0.000101676    0.736725    0.993965     50115.7
         PSP           1        2010          10     483.384 0.000129297    0.798388    0.995762     60814.5
         PSP           1        4010          10     221.417 0.000282273    0.945531    0.998912      108137
         PSP           1        6010          10     137.517 0.000454488    0.974325     0.99929      147894
         PSP           1        8010          10      94.314  0.00066268    0.991106    0.999762      182421
         PSP           1       10010          10      69.389 0.000900719     0.99705    0.999912      213084

******************************************************************************************************
                                                                                    10-15 17:15
*****************************************************************************************************


